custom/total_reward,custom/mean_reward,custom/avg_speed,custom/routes_completed,custom/total_distance,custom/avg_center_dev,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss
-15.10936268701952,-0.14528233352903383,17.924274503503742,1.9743589743589745,34.155410753330216,0.509889211166411,,,,,,,,,,
-20.575346843240382,-0.3810249415414886,9.795729005671175,0.021551724137931036,9.635686288354918,0.7424939712262242,,,,,,,,,,
-14.568377333277212,-0.2801611025630233,13.778383798304851,0.22413793103448276,13.042583310045302,0.5057480534885161,,,,,,,,,,
-10.75255527882387,-0.1792092546470645,17.585179900256396,0.046798029556650245,19.229740710696205,0.5098061496644111,,,,,,,,,,
,,,,,,66.5,4,2,91,-15.070101999999999,266,,,,
-7.834890195585253,-0.10446520260780337,14.337537432642288,0.3275862068965517,19.66740215884056,0.4594686341541727,,,,,,,,,,
-12.267416829986292,-0.18586995196948927,11.89237026748119,0.026871401151631478,14.408211791189387,0.2514120052016126,,,,,,,,,,
-18.466393613455416,-0.40144333942294386,10.910250429803005,0.20454545454545456,9.070312303723767,0.6253700279495785,,,,,,,,,,
-15.44368851361326,-0.18169045310133247,16.054354912353027,0.054502369668246446,24.988526587141678,0.38391351464505524,,,,,,,,,,
,,,,,,66.75,8,3,167,-14.204819375,534,,,,
-16.474100491156882,-0.28901930686240146,12.438566992910674,0.28888888888888886,12.856858718558215,0.43897416354231833,,,,,,,,,,
-18.89270617645647,-0.4107110038360102,9.696276656977036,0.021212121212121213,8.063786972081289,0.6647398954355161,,,,,,,,,,
-19.94075119020041,-0.37624058849434733,8.605431850299373,0.19047619047619047,8.283972137374803,0.6193847076840134,,,,,,,,,,
-17.214400406045016,-0.2732444508896034,10.67775812019629,0.03116883116883117,12.450467594899237,0.23756315092576144,,,,,,,,,,
,,,,,,62.416666666666664,12,3,225,-15.462944,749,,,,
-14.128333111250258,-0.28256666222500515,12.387671565433038,0.05286343612334802,11.251129814889282,0.8647642732963634,,,,,,,,,,
-16.1185691382198,-0.26423883833147216,15.267829321049044,0.04294478527607362,16.965600522235036,0.6761465140092203,,,,,,,,,,
-13.760546908380952,-0.16188878715742297,14.882753121152778,0.5454545454545454,23.18519741203636,1.0126352246852857,,,,,,,,,,
-16.74999127175959,-0.2463234010552881,12.8100359645736,0.078125,15.896458826726303,0.8199854341916931,,,,,,,,,,
,,,,,,63.0625,16,3,288,-15.3558288125,1009,,,,
-17.546244331342145,-0.2924374055223691,11.524155372680813,0.2765957446808511,12.71922485716641,0.3646071373787727,,,,,,,,,,
-18.060741894575784,-0.26174988253008385,11.462206943976716,0.020348837209302327,14.440064886817709,0.41610420936691506,,,,,,,,,,
