custom/total_reward,custom/mean_reward,custom/avg_center_dev,custom/total_distance,custom/routes_completed,custom/avg_speed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
55.367822950369856,0.5323829129843255,0.5272503079050785,34.15673436387442,1.9743589743589745,17.922368293883107,,,,,,,,,,
16.4569842592266,0.31648046652358847,0.7164471209606654,9.293139233486727,0.01939655172413793,9.824046723594984,,,,,,,,,,
26.50555643572521,0.490843637698615,0.5242451076898768,13.746561341453344,0.2413793103448276,13.977769688898231,,,,,,,,,,
29.98368247884072,0.499728041314012,0.5069710122547774,19.1598585434258,0.046798029556650245,17.51720688508775,,,,,,,,,,
,,,,,,31.642314000000002,3,66.5,82,4,266,,,,
45.324676740979264,0.6043290232130568,0.45481552783895673,19.639716018224135,0.3275862068965517,14.311441347814425,,,,,,,,,,
35.88656630872522,0.5437358531625034,0.25173564068460047,14.42767677269876,0.026871401151631478,11.906736739054516,,,,,,,,,,
15.73778691237435,0.3421258024429207,0.622729334086861,8.997531902045012,0.20454545454545456,10.812155407487515,,,,,,,,,,
46.99847889043376,0.5595057010765924,0.44618960071770675,25.304515006951988,0.054502369668246446,16.44093989885237,,,,,,,,,,
,,,,,,33.596506375000004,3,66.625,149,8,533,,,,
28.560110927534765,0.49241570564715115,0.4763770255390364,13.230634703300893,0.28888888888888886,12.561971151602172,,,,,,,,,,
15.580116844714336,0.33869819227639864,0.6658136421925408,8.06925746332854,0.021212121212121213,9.7007207771534,,,,,,,,,,
19.172752088441094,0.3617500394045489,0.6170644366640129,8.288919859332964,0.19047619047619047,8.610021988613774,,,,,,,,,,
31.69996248410275,0.5031740076841706,0.23891669335506505,12.44499438512139,0.03116883116883117,10.67081926855398,,,,,,,,,,
,,,,,,30.170030666666673,3,62.416666666666664,202,12,749,,,,
17.363748844751026,0.3543622213214495,0.8336702000696149,10.74373175832443,0.048458149779735685,12.073035054429717,,,,,,,,,,
27.943517679350272,0.5174725496175976,0.531310223357172,12.786095540272072,0.03561643835616438,13.011413855223331,,,,,,,,,,
13.04929855992389,0.28368040347660634,0.7178740651405712,7.392226150725037,0.1590909090909091,8.905106945073385,,,,,,,,,,
26.727725530647923,0.5042967081254325,0.3284546645431673,11.10189316002652,0.02877697841726619,11.445713254806542,,,,,,,,,,
,,,,,,27.8362491875,3,59.1875,246,16,947,,,,
32.07143590313653,0.48593084701722017,0.364281449365131,17.922138726571575,0.3829787234042553,14.855729056555798,,,,,,,,,,
52.45400302800279,0.546395864875029,0.4610785558754746,30.24535205157008,0.10416666666666667,17.13874786557728,,,,,,,,,,
17.11251973003938,0.38892090295544046,0.16231599268259758,5.9012216492556036,0.0625,7.392044655502033,,,,,,,,,,
16.425043884388266,0.30990648838468426,0.48121425138326845,10.531960889929906,0.04888888888888889,10.947941162818626,,,,,,,,,,
,,,,,,28.084913750000005,3,60.1,306,20,1202,,,,
18.16723158683337,0.39493981710507325,0.4750800464932137,9.308618686627597,0.10714285714285714,11.21028430802267,,,,,,,,,,
32.49325493337996,0.48497395422955164,0.7210265715854588,16.39337497833185,0.04404145077720207,13.356330241956272,,,,,,,,,,
25.12315406401899,0.3925492822502967,0.7061226793816948,13.43612806336023,0.051587301587301584,11.50143522522925,,,,,,,,,,
44.77373416708152,0.5527621502108829,0.739981361836874,28.825722134672105,0.08923884514435695,19.415016743089783,,,,,,,,,,
,,,,,,28.354616791666672,3,60.666666666666664,390,24,1456,,,,
