custom/routes_completed,custom/total_distance,custom/avg_speed,custom/total_reward,custom/avg_center_dev,custom/mean_reward,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
1.9743589743589745,34.11004808242433,17.897629547514626,13.878189671322655,0.517550578068974,0.13344413145502554,,,,,,,,,,
0.021551724137931036,9.629946565954015,9.78845085648139,-3.8613474460374038,0.7415673816244893,-0.07150643418587785,,,,,,,,,,
0.22413793103448276,13.369602379621938,13.85034176578404,4.970326156177265,0.5431952013408023,0.09377973879579746,,,,,,,,,,
0.02512562814070352,10.296414736658335,12.127881733180745,0.42872023025421235,0.5525705654274983,0.009121707026685369,,,,,,,,,,
,,,,,,82,3.8180027500000002,4,254,3,63.5,,,,
0.2413793103448276,14.67326696938835,11.836326588695087,9.189216200394,0.4069343855191028,0.1351355323587353,,,,,,,,,,
0.04838709677419355,12.328862263821065,11.6281500574143,3.0028935360644837,0.3910244704730611,0.05177402648387041,,,,,,,,,,
0.18181818181818182,7.832835141103715,8.505636751218134,-5.636924185369465,0.7184981992054338,-0.11052792520332284,,,,,,,,,,
0.13924050632911392,10.70149775641039,12.021742752737442,-1.0196094670374674,0.6925712836150547,-0.020808356470152396,,,,,,,,,,
,,,,,,138,2.5824785,8,476,3,59.5,,,,
0.6666666666666666,29.522194776684046,21.47565243710496,-3.4241544064739404,1.1256600444813314,-0.045655392086319205,,,,,,,,,,
0.012903225806451613,5.079484900692478,7.473528419652907,-3.567754022045672,0.2631460395773178,-0.093888263738044,,,,,,,,,,
0.19047619047619047,7.992271289578639,8.846328667451296,-1.2226579680655103,0.5596579971528056,-0.024453159361310206,,,,,,,,,,
0.022988505747126436,6.777502439217642,7.996022629623852,-5.117629096187172,0.6388542796420259,-0.1088857254507909,,,,,,,,,,
,,,,,,197,0.5984415833333334,12,682,3,56.833333333333336,,,,
0.05726872246696035,13.08057652367279,10.114656813740439,3.663472942908694,0.26925972977855506,0.05233532775583848,,,,,,,,,,
0.05352112676056338,19.670510268071666,15.382187742054137,11.658816177194797,0.5488173997510716,0.16655451681706854,,,,,,,,,,
0.20454545454545456,8.990020364057273,11.302597547383025,-5.302568187631726,0.8151216611545977,-0.1205129133552665,,,,,,,,,,
0.015068493150684932,11.261891596252099,10.860145167424474,-0.028435591527193438,0.6820770440957598,-0.0004988700267928673,,,,,,,,,,
,,,,,,260,1.064224375,16,919,3,57.4375,,,,
0.2765957446808511,12.806744759436697,11.338035369637202,8.410286936717533,0.3166897186912599,0.1378735563396317,,,,,,,,,,
0.13333333333333333,9.514824636513367,11.146906132924094,0.29047933911186696,0.6039444994711569,0.006180411470465255,,,,,,,,,,
0.08333333333333333,8.767311587696895,10.320036495406296,-0.7501692386224512,0.5605116734519887,-0.01596104763026492,,,,,,,,,,
0.0189873417721519,8.678300614468753,8.758736968791046,-0.2135456150810704,0.3307768720951241,-0.0039545484274272295,,,,,,,,,,
,,,,,,327,1.23100195,20,1124,3,56.2,,,,
0.30952380952380953,25.16651086555794,16.358225476709634,14.094345187331076,0.5755051369557693,0.1677898236587033,,,,,,,,,,
0.014522821576763486,7.284058704506606,9.404265316002455,-4.178309161506677,0.6250389462474951,-0.09716998050015528,,,,,,,,,,
0.05952380952380952,14.834761594654992,14.268985476577086,0.9567576081314311,0.8401114910959866,0.016785221195288264,,,,,,,,,,
0.02710027100271003,10.441613753791898,10.395300670111586,0.6358623569396205,0.5902617639555473,0.011561133762538554,,,,,,,,,,
,,,,,,403,1.4993391666666664,24,1359,3,56.625,,,,
