custom/routes_completed,custom/total_reward,custom/mean_reward,custom/avg_speed,custom/avg_center_dev,custom/total_distance,time/episodes,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates
1.9743589743589745,-29.0302225295728,-0.27913675509204616,17.924385975121982,0.5272432161390551,34.16009205812588,,,,,,,,,,
0.01939655172413793,-27.74687621525288,-0.5235259663255261,9.722710126429286,0.7154480869833634,9.393542925827205,,,,,,,,,,
0.2413793103448276,-23.629623069280193,-0.4219575548085749,14.027660164032554,0.5359113848317383,14.323961404152215,,,,,,,,,,
0.01192504258943782,-20.829498641853128,-0.5340897087654648,9.633770725118866,0.22625432872706988,6.791597792645916,,,,,,,,,,
,,,,,,4,3,248,-24.96474,72,62.0,,,,
0.20689655172413793,-26.27451394146548,-0.46095638493799085,11.762866592809846,0.713103110926131,12.22544597578235,,,,,,,,,,
0.028089887640449437,-24.567999064511497,-0.6141999766127875,6.965780657162054,0.25902311394898636,5.1075405480805784,,,,,,,,,,
0.25,-20.967129012364126,-0.4193425802472825,11.086407152052884,0.35184817548205494,10.212088206317276,,,,,,,,,,
0.044673539518900345,-23.88191618681073,-0.4117571756346678,11.974767766381698,0.5151874725102765,12.87903000949882,,,,,,,,,,
,,,,,,8,3,449,-24.27661075,118,56.125,,,,
0.2,-22.601746685931047,-0.4913423192593706,11.189688751324733,0.636574722930174,9.318216527346522,,,,,,,,,,
0.03571428571428571,-22.932887380461743,-0.44101706500887966,11.184826535259468,0.6206512633688999,10.74904018919915,,,,,,,,,,
0.19047619047619047,-24.806353112542062,-0.5637807525577742,9.72939944946005,0.7098293873188337,7.723948130616918,,,,,,,,,,
0.021341463414634148,-25.450265716313716,-0.3915425494817495,12.23576827530751,0.6644459992246216,14.530712239909917,,,,,,,,,,
,,,,,,12,3,652,-24.063177916666664,163,54.333333333333336,,,,
0.04405286343612335,-28.339467355333422,-0.46458143205464625,8.687659797894288,0.9512905024000105,9.642586192348972,,,,,,,,,,
0.05466970387243736,-23.200245038687555,-0.31781157587243225,17.149137967252063,0.48751433959848456,22.92644292418845,,,,,,,,,,
0.29545454545454547,-22.221882553337075,-0.4273438952564822,13.09705973498241,0.5356844237500694,12.553794987732545,,,,,,,,,,
0.03867403314917127,-23.05332718163219,-0.5911109533751844,9.030309801485458,0.2978504065061564,6.512083393055946,,,,,,,,,,
,,,,,,16,3,873,-24.020456125000003,219,54.5625,,,,
0.5106382978723404,-25.388281780086942,-0.31343557753193757,16.595609224365802,0.5532774355776758,24.583460297086276,,,,,,,,,,
0.021164021164021163,-24.479842200614534,-0.4618838151059346,11.913311536852525,0.5819556551037774,11.474826791556552,,,,,,,,,,
0.25,-21.652508588373806,-0.2640549827850464,15.669516884894561,0.6193240190141425,23.540409453678876,,,,,,,,,,
0.06432748538011696,-25.29404569349555,-0.4437551876051851,10.07585459446456,0.31167071898305254,10.545528315706179,,,,,,,,,,
,,,,,,20,3,1142,-23.99320005,294,57.1,,,,
0.07142857142857142,-24.541703602447303,-0.5985781366450562,9.484299224277281,0.6124045949780555,6.985790724400431,,,,,,,,,,
0.0262582056892779,-26.655847802730023,-0.45179403055474615,11.697436911617734,0.7456706957872947,12.539463889086619,,,,,,,,,,
0.03968253968253968,-26.474118360136327,-0.5191003600026731,11.646111890144628,0.7919103571927393,10.782153643900529,,,,,,,,,,
0.04296875,-27.059299596883186,-0.4832017785157712,11.25231753719415,0.6574864162389511,11.468210123945028,,,,,,,,,,
,,,,,,24,3,1345,-24.30522641666667,351,56.041666666666664,,,,
0.2564102564102564,-30.99141343370505,-0.5165235572284175,9.827385701770696,0.6081859477557529,10.717488596215844,,,,,,,,,,
0.03625954198473282,-25.80236925698582,-0.3794466067203797,15.624443379838752,1.0120692467745034,19.455276248278096,,,,,,,,,,
0.3793103448275862,-25.24604457905682,-0.37126536145671796,17.954698767202874,1.0378533125573888,22.305273540783674,,,,,,,,,,
0.014354066985645933,-24.870877692070128,-0.6217719423017531,7.4955499299746124,0.0923349472355726,5.406481171492487,,,,,,,,,,
,,,,,,28,3,1577,-24.607074464285716,410,56.32142857142857,,,,
0.5517241379310345,-35.19409829583118,-0.3258712805169554,17.21379554051073,0.6881866620347254,34.147006197599694,,,,,,,,,,
0.04054054054054054,-25.139932407495014,-0.4929398511273532,11.05273886858663,0.5019592904626966,10.233332342933863,,,,,,,,,,
