custom/mean_reward,custom/routes_completed,custom/total_distance,custom/avg_speed,custom/total_reward,custom/avg_center_dev,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate
0.16779927670008668,7.592356687898089,2573.014192803472,21.1958325900358,839.8353798839338,0.6336503165708723,,,,,,,,,,
,,,,,,93004,1439,224,850.93,174.8808316,3,,,,
0.1503693999465073,0.6774193548387096,123.90040255477652,19.728509878894602,51.12559598181249,0.690015901607093,,,,,,,82797,0.43312140856813686,-19.413591524012844,0.00012840764395608876
0.2103325672061327,6.322314049586777,3000.1008028052747,19.961932779461826,1326.3571688018728,0.6417133979983677,,,,,,,83136,0.28362121604448925,-19.654669955768416,0.000127499939929012
0.1376084602853086,0.7670807453416149,228.03568653948605,21.500544761092055,78.98725620376713,0.6513332656272884,,,,,,,89441,0.4043219564348152,-19.181887603808168,0.00011120914090357624
0.18115494020772197,3.9591836734693877,1357.0526570230722,21.174020020793083,461.945097529691,0.6636526120111822,,,,,,,90014,0.28232604842535486,-19.572912036436392,0.00010978427081425419
,,,,,,102770,4088,228,945.97,194.99625775,3,,,,
0.15748939791205568,0.4946808510638298,180.9699892634526,20.85656117758387,74.02001701866617,0.5597028212434214,,,,,,,92563,0.40125911309584394,-19.480501786266043,0.00010355806635072427
0.16226121065096352,2.0854503464203233,528.719850990281,20.68453035840786,170.21200997286073,0.5906770399644277,,,,,,,93032,0.3642275776308991,-19.608492658082355,0.00010243246755825599
0.24454441650666395,2.82830626450116,1407.535035879584,20.619812468961143,752.9522584240183,0.6655110259188147,,,,,,,94080,0.42156307807348614,-19.57855184023617,9.993971588193185e-05
0.24382967018802032,5.576441102756892,2287.022630811436,20.591685881354195,1240.1177025762713,0.6476396578396822,,,,,,,97158,0.5243093542333467,-19.85726141046595,9.279774811212653e-05
,,,,,,112450,6756,232,1039.35,218.59546149,3,,,,
0.21193569995128572,6.003508771929824,3025.1090230956906,20.838607928294277,1194.893476325349,0.6777267423468866,,,,,,,102243,0.5092287622897674,-19.829479475218285,8.158492099083298e-05
0.22789148440821827,6.283298097251586,2886.9731741977157,20.794679632598427,1225.3725116629896,0.7128655809117002,,,,,,,107880,0.46370814344668104,-19.50775550692052,7.000820385160137e-05
0.16601281320344818,1.043956043956044,646.4689967914601,20.725458402890126,190.58270955755853,0.7038725951375778,,,,,,,113256,0.44902212036097244,-19.270162189290637,5.980339407342124e-05
0.2410512933676042,6.983870967741936,3000.2840294936905,21.008816520954618,1420.274220521924,0.6532987437430388,,,,,,,114403,0.4298766791274886,-19.134946535438065,5.7731772235740144e-05
,,,,,,130501,11502,236,1217.15,259.90873474999995,3,,,,
-0.6299066029483678,0.017241379310344827,6.156138954218477,11.489649694250813,-18.267291485502664,0.2829236313611237,,,,,,,120294,0.5027467246028082,-18.887770456078705,4.767726815015276e-05
0.15944035744127782,1.9851485148514851,521.0122041834984,20.942363095805305,174.42775104075793,0.6726333042864959,,,,,,,120322,0.42704630217381884,-18.779671600886754,4.763181882806135e-05
0.24983645721402287,7.854578096947935,3000.2716867440613,20.342641979535564,1395.8362864547457,0.6525744907718546,,,,,,,121415,0.4783482399291111,-18.67586083861523,4.5874970663082844e-05
0.31189484760621455,6.789090909090909,3000.0351976001402,21.057945938736584,1711.055133967693,0.656159900401358,,,,,,,127001,0.5140433021095163,-18.56042705519499,3.742297998913535e-05
,,,,,,142693,14840,240,1336.22,293.67677556,3,,,,
0.23755571222612706,6.492647058823529,3000.108641760191,21.203994541255415,1415.8320448677173,0.6660769382588854,,,,,,,132486,0.5225878684571795,-18.42689358825127,2.998113966305454e-05
0.23664220935638228,2.597457627118644,843.6017869873904,20.72661912479132,391.87949869416906,0.6864649125563366,,,,,,,138445,0.5134740012201973,-18.245400923133438,2.2858994083748302e-05
0.17560300375640134,4.082926829268293,1685.6599219680247,21.03522892068803,481.3278332962961,0.6813217589941659,,,,,,,140100,0.5092540347594149,-18.07999617469995,2.10588604077354e-05
0.22570315079559816,6.522184300341297,3000.402999316575,20.963956765827284,1373.855078892806,0.656971873550493,,,,,,,142840,0.5158874037927085,-17.940057678640322,1.824859643195451e-05
,,,,,,159133,19220,244,1498.07,331.39656678,3,,,,
0.2299696914418854,3.2318840579710146,1134.463685163646,21.201416132942047,398.5374752687874,0.7058122474159589,,,,,,,148926,0.5398058757048824,-17.711351535996442,1.2764897601035537e-05
0.26848092671911616,5.614795918367347,2858.9549295639154,20.82811835451756,1414.894483809742,0.6542546833791015,,,,,,,150658,0.5499211683972604,-17.522732276013485,1.1395478844358313e-05
0.2656793821846836,5.004,3013.4013213280123,21.222421601908255,1589.8254229931467,0.6783133947322866,,,,,,,155927,0.561596456529814,-17.374993099481248,7.75030715380262e-06
0.2314058324258157,6.5,2500.7718431551475,20.891053266890456,1103.1116031738634,0.6976525124121397,,,,,,,161910,0.5606984870476247,-17.07967703409783,4.561639169618608e-06
,,,,,,176883,23936,248,1672.9,377.58845694,3,,,,
0.1822090751565538,1.1544715447154472,557.6970730497269,21.02892918503795,200.79440082252228,0.6734308936458128,,,,,,,166676,0.5707851414683233,-16.818507071858036,2.744857877178589e-06
0.22985385884128193,8.002061855670103,3018.4013879030244,21.44066054805362,1169.4964337844424,0.6821551874872515,,,,,,,167777,0.5435148870723016,-16.722188510427035,2.4163594314169276e-06
0.6182516054027611,6.003115264797508,3095.6305095504504,21.108048005166214,3835.0147083133274,0.6847285930853481,,,,,,,172864,0.5729595429482056,-16.60503014605196,1.3430066053361258e-06
